model,family,macro_f1_mean,macro_f1_margin
convnext_large,ConvNeXt,88.25398890460298,0.21819874433301864
convnext_base,ConvNeXt,87.1633842437724,0.2861650403968905
convnext_tiny,ConvNeXt,86.78918619886653,0.261415588594718
convnext_small,ConvNeXt,86.46968214308849,0.2768165454690892
resnet152,ResNet,85.27729353739447,0.26964083206759315
dino_vits8,DINO (ImageNet-norm),85.17942430006728,0.2639629057007288
resnet18,ResNet,85.07916843314906,0.25173587893181537
resnet34,ResNet,84.84746175039658,0.25152051542572745
resnet50,ResNet,84.53255215850045,0.2888151181007305
dino_vitb8,DINO (ImageNet-norm),84.47338702382038,0.30012632752367
resnet101,ResNet,83.58685148618368,0.31742619360708074
dino_vitb16,DINO (ImageNet-norm),82.84341803917239,0.3205729146932873
vit_b_16,VisionTransformer,81.073555047198,0.3027397449581201
vit_l_32,VisionTransformer,80.77052086815492,0.2894584520537271
vgg13,VGG,80.64928336837977,0.3052869897892202
vit_b_32,VisionTransformer,79.33478742067702,0.3561941950758763
dinov2_vitb14,DINOv2 (ImageNet-norm),78.99945473141155,0.31504114162810476
dinov2_vitg14,DINOv2 (ImageNet-norm),78.6066315808291,0.30403585864768523
vgg11,VGG,78.60553358922567,0.27520587593034085
dino_vits16,DINO (ImageNet-norm),77.73774483149784,0.31731437278552377
vit_l_16,VisionTransformer,75.85248964176219,0.3438921014424504
vgg16,VGG,75.62001449857951,0.33918750879637094
dinov2_vits14,DINOv2 (ImageNet-norm),74.21197250411437,0.31458734916047754
dinov2_vitl14,DINOv2 (ImageNet-norm),69.92759175388098,0.377529568121005
