variant,base_model,normalization,iteration,macro_f1
dino_vits16_dataset,dino_vits16,dataset,1,74.50694404833169
dino_vits16_dataset,dino_vits16,dataset,2,72.81420368845745
dino_vits16_dataset,dino_vits16,dataset,3,72.69904930314169
dino_vits16_dataset,dino_vits16,dataset,4,73.32418842426122
dino_vits16_dataset,dino_vits16,dataset,5,70.55477196617714
dino_vits16_dataset,dino_vits16,dataset,6,75.98183535457423
dino_vits16_dataset,dino_vits16,dataset,7,73.70696767690058
dino_vits16_dataset,dino_vits16,dataset,8,73.5699165856639
dino_vits16_dataset,dino_vits16,dataset,9,76.1052975393688
dino_vits16_dataset,dino_vits16,dataset,10,74.11315052215465
dino_vits16_dataset,dino_vits16,dataset,11,74.02314853185034
dino_vits16_dataset,dino_vits16,dataset,12,72.47954093558317
dino_vits16_dataset,dino_vits16,dataset,13,72.41293873402287
dino_vits16_dataset,dino_vits16,dataset,14,75.19714066736218
dino_vits16_dataset,dino_vits16,dataset,15,74.82850461099012
dino_vits16_dataset,dino_vits16,dataset,16,76.57650699177387
dino_vits16_dataset,dino_vits16,dataset,17,72.77053127720872
dino_vits16_dataset,dino_vits16,dataset,18,75.11794084498696
dino_vits16_dataset,dino_vits16,dataset,19,76.7516855283812
dino_vits16_dataset,dino_vits16,dataset,20,74.46823504977667
dino_vits16_dataset,dino_vits16,dataset,21,74.47013856370405
dino_vits16_dataset,dino_vits16,dataset,22,73.07880355275202
dino_vits16_dataset,dino_vits16,dataset,23,73.85907415177508
dino_vits16_dataset,dino_vits16,dataset,24,74.20994410432385
dino_vits16_dataset,dino_vits16,dataset,25,71.19375665409959
dino_vits16_dataset,dino_vits16,dataset,26,73.44429211951467
dino_vits16_dataset,dino_vits16,dataset,27,71.0505726377677
dino_vits16_dataset,dino_vits16,dataset,28,74.52183347763054
dino_vits16_dataset,dino_vits16,dataset,29,71.5280367827156
dino_vits16_dataset,dino_vits16,dataset,30,75.88933484059714
dino_vits16_dataset,dino_vits16,dataset,31,74.18841047075695
dino_vits16_dataset,dino_vits16,dataset,32,72.16968785527655
dino_vits16_dataset,dino_vits16,dataset,33,73.12207562186826
dino_vits16_dataset,dino_vits16,dataset,34,75.32949841062559
dino_vits16_dataset,dino_vits16,dataset,35,75.98977429843055
dino_vits16_dataset,dino_vits16,dataset,36,75.72979003864508
dino_vits16_dataset,dino_vits16,dataset,37,74.62769095597355
dino_vits16_dataset,dino_vits16,dataset,38,73.79416314304115
dino_vits16_dataset,dino_vits16,dataset,39,72.69008344951207
dino_vits16_dataset,dino_vits16,dataset,40,72.0750708043378
dino_vits16_dataset,dino_vits16,dataset,41,71.54336353051185
dino_vits16_dataset,dino_vits16,dataset,42,74.25850557088313
dino_vits16_dataset,dino_vits16,dataset,43,73.8597650706798
dino_vits16_dataset,dino_vits16,dataset,44,73.27764558321077
dino_vits16_dataset,dino_vits16,dataset,45,75.38922203107421
dino_vits16_dataset,dino_vits16,dataset,46,74.52483003397322
dino_vits16_dataset,dino_vits16,dataset,47,74.75523024468274
dino_vits16_dataset,dino_vits16,dataset,48,74.34763651403259
dino_vits16_dataset,dino_vits16,dataset,49,75.0502114310342
dino_vits16_dataset,dino_vits16,dataset,50,73.68988209977955
dino_vits16_dataset,dino_vits16,dataset,51,72.7500969572441
dino_vits16_dataset,dino_vits16,dataset,52,73.22285431504976
dino_vits16_dataset,dino_vits16,dataset,53,72.7455338829599
dino_vits16_dataset,dino_vits16,dataset,54,76.2019345510189
dino_vits16_dataset,dino_vits16,dataset,55,78.44619460630702
dino_vits16_dataset,dino_vits16,dataset,56,78.77555732782795
dino_vits16_dataset,dino_vits16,dataset,57,71.77463627783317
dino_vits16_dataset,dino_vits16,dataset,58,76.70184015456103
dino_vits16_dataset,dino_vits16,dataset,59,73.70598696288899
dino_vits16_dataset,dino_vits16,dataset,60,71.8523972524368
dino_vits16_dataset,dino_vits16,dataset,61,71.99252209005054
dino_vits16_dataset,dino_vits16,dataset,62,71.93090098179972
dino_vits16_dataset,dino_vits16,dataset,63,72.4015746650819
dino_vits16_dataset,dino_vits16,dataset,64,71.44692810376212
dino_vits16_dataset,dino_vits16,dataset,65,75.24029723470159
dino_vits16_dataset,dino_vits16,dataset,66,73.24939361999839
dino_vits16_dataset,dino_vits16,dataset,67,71.36277397240826
dino_vits16_dataset,dino_vits16,dataset,68,71.18174993521261
dino_vits16_dataset,dino_vits16,dataset,69,72.03661510052225
dino_vits16_dataset,dino_vits16,dataset,70,73.80182939597351
dino_vits16_dataset,dino_vits16,dataset,71,72.17845984204492
dino_vits16_dataset,dino_vits16,dataset,72,71.77232351749063
dino_vits16_dataset,dino_vits16,dataset,73,72.84488022474028
dino_vits16_dataset,dino_vits16,dataset,74,74.40955539905751
dino_vits16_dataset,dino_vits16,dataset,75,73.61038058717071
dino_vits16_dataset,dino_vits16,dataset,76,74.38943182762719
dino_vits16_dataset,dino_vits16,dataset,77,73.28932419558748
dino_vits16_dataset,dino_vits16,dataset,78,78.52530843937396
dino_vits16_dataset,dino_vits16,dataset,79,71.14015440809979
dino_vits16_dataset,dino_vits16,dataset,80,77.49675430973284
dino_vits16_dataset,dino_vits16,dataset,81,73.3489417599491
dino_vits16_dataset,dino_vits16,dataset,82,75.37970306452655
dino_vits16_dataset,dino_vits16,dataset,83,72.37121840879921
dino_vits16_dataset,dino_vits16,dataset,84,71.38413252185066
dino_vits16_dataset,dino_vits16,dataset,85,72.86692616613239
dino_vits16_dataset,dino_vits16,dataset,86,71.32029723247892
dino_vits16_dataset,dino_vits16,dataset,87,71.2413993979896
dino_vits16_dataset,dino_vits16,dataset,88,69.58000198584708
dino_vits16_dataset,dino_vits16,dataset,89,72.0101156007674
dino_vits16_dataset,dino_vits16,dataset,90,73.15672575384097
dino_vits16_dataset,dino_vits16,dataset,91,72.09134208699446
dino_vits16_dataset,dino_vits16,dataset,92,73.029380674213
dino_vits16_dataset,dino_vits16,dataset,93,76.21790898508351
dino_vits16_dataset,dino_vits16,dataset,94,73.05233099050521
dino_vits16_dataset,dino_vits16,dataset,95,73.96515245258114
dino_vits16_dataset,dino_vits16,dataset,96,74.12806154745337
dino_vits16_dataset,dino_vits16,dataset,97,73.47087252408197
dino_vits16_dataset,dino_vits16,dataset,98,73.54846492976715
dino_vits16_dataset,dino_vits16,dataset,99,74.29425088944508
dino_vits16_dataset,dino_vits16,dataset,100,72.45166249037626
dino_vits16_imagenet,dino_vits16,imagenet,1,76.74603742057336
dino_vits16_imagenet,dino_vits16,imagenet,2,74.88751039255209
dino_vits16_imagenet,dino_vits16,imagenet,3,78.4172540112049
dino_vits16_imagenet,dino_vits16,imagenet,4,77.74230589163494
dino_vits16_imagenet,dino_vits16,imagenet,5,77.52585445885217
dino_vits16_imagenet,dino_vits16,imagenet,6,77.39150314238972
dino_vits16_imagenet,dino_vits16,imagenet,7,77.3690926284608
dino_vits16_imagenet,dino_vits16,imagenet,8,76.7435885324909
dino_vits16_imagenet,dino_vits16,imagenet,9,77.87534541783813
dino_vits16_imagenet,dino_vits16,imagenet,10,76.34554357631586
dino_vits16_imagenet,dino_vits16,imagenet,11,76.8445804755959
dino_vits16_imagenet,dino_vits16,imagenet,12,78.27800881644433
dino_vits16_imagenet,dino_vits16,imagenet,13,77.64166174642386
dino_vits16_imagenet,dino_vits16,imagenet,14,75.96828607715798
dino_vits16_imagenet,dino_vits16,imagenet,15,78.13962364298614
dino_vits16_imagenet,dino_vits16,imagenet,16,79.63374265554502
dino_vits16_imagenet,dino_vits16,imagenet,17,77.96168975060841
dino_vits16_imagenet,dino_vits16,imagenet,18,77.87384219009586
dino_vits16_imagenet,dino_vits16,imagenet,19,79.29257223260716
dino_vits16_imagenet,dino_vits16,imagenet,20,76.8570193504291
dino_vits16_imagenet,dino_vits16,imagenet,21,79.06463106678416
dino_vits16_imagenet,dino_vits16,imagenet,22,76.06955550574311
dino_vits16_imagenet,dino_vits16,imagenet,23,77.62310079373789
dino_vits16_imagenet,dino_vits16,imagenet,24,75.9463595358981
dino_vits16_imagenet,dino_vits16,imagenet,25,79.27973489300399
dino_vits16_imagenet,dino_vits16,imagenet,26,76.573619948678
dino_vits16_imagenet,dino_vits16,imagenet,27,76.7698403616321
dino_vits16_imagenet,dino_vits16,imagenet,28,77.04774853189495
dino_vits16_imagenet,dino_vits16,imagenet,29,76.8426648873116
dino_vits16_imagenet,dino_vits16,imagenet,30,79.63416031831183
dino_vits16_imagenet,dino_vits16,imagenet,31,79.01599731673177
dino_vits16_imagenet,dino_vits16,imagenet,32,77.88144006322534
dino_vits16_imagenet,dino_vits16,imagenet,33,77.17270135165303
