model,family,recipe,macro_f1_mean,macro_f1_margin
convnext_large,ConvNeXt,single_lr,88.09573271994668,0.23996276885784795
convnext_base,ConvNeXt,single_lr,87.34008120242474,0.23455329181772494
convnext_tiny,ConvNeXt,single_lr,86.77186773411957,0.26914652484805646
dino_vits16,DINO,mid_lr,86.29673980388515,0.3022272761077154
convnext_small,ConvNeXt,single_lr,86.22923263974424,0.26465027336952224
dinov2_vitg14,DINOv2,discriminative_lr,85.5521505439044,0.3152695988028436
resnet34,ResNet,single_lr,85.23352481002675,0.2886145216780295
dinov2_vitl14,DINOv2,discriminative_lr,85.12045334263556,0.29941723727054415
dino_vitb8,DINO,single_lr,84.34422507927961,0.27236497248031394
vit_b_16,VisionTransformer,single_lr,83.95476771244759,0.30790281161545785
resnet50,ResNet,single_lr,83.61406291235966,0.2590745116483739
resnet152,ResNet,single_lr,83.11786342475062,0.2628497713919092
resnet18,ResNet,single_lr,83.11315478931532,0.25790104035899253
dino_vitb16,DINO,single_lr,83.07374177546288,0.3048065184059449
vit_b_32,VisionTransformer,single_lr,82.8692820334769,0.29560459804256556
resnet101,ResNet,single_lr,82.69230679872545,0.2976986051881184
dinov2_vits14,DINOv2,discriminative_lr,82.6727621265505,0.2950142749602996
dino_vits8,DINO,single_lr,82.37953845535898,0.33007375500495745
dinov2_vitb14,DINOv2,discriminative_lr,82.33110134116112,0.2931138987105766
vgg16,VGG,single_lr,81.95268844579155,0.3057201167645029
vgg11,VGG,single_lr,81.0996760306718,0.3208314667362323
vit_l_32,VisionTransformer,single_lr,80.67011157656395,0.3212544002414458
vgg13,VGG,single_lr,79.9864974367905,0.29380525804785823
vit_l_16,VisionTransformer,single_lr,77.27740038055498,0.3157444245238238
