model,family,macro_f1_mean,macro_f1_margin
convnext_large,ConvNeXt,88.09573271994668,0.23996276885784795
convnext_base,ConvNeXt,87.34008120242474,0.23455329181772494
convnext_tiny,ConvNeXt,86.77186773411957,0.26914652484805646
convnext_small,ConvNeXt,86.22923263974424,0.26465027336952224
resnet34,ResNet,85.23352481002675,0.2886145216780295
dino_vitb8,DINO,84.34422507927961,0.27236497248031394
vit_b_16,VisionTransformer,83.95476771244759,0.30790281161545785
resnet50,ResNet,83.61406291235966,0.2590745116483739
resnet152,ResNet,83.11786342475062,0.2628497713919092
resnet18,ResNet,83.11315478931532,0.25790104035899253
dino_vitb16,DINO,83.07374177546288,0.3048065184059449
vit_b_32,VisionTransformer,82.8692820334769,0.29560459804256556
resnet101,ResNet,82.69230679872545,0.2976986051881184
dino_vits8,DINO,82.37953845535898,0.33007375500495745
vgg16,VGG,81.95268844579155,0.3057201167645029
vgg11,VGG,81.0996760306718,0.3208314667362323
vit_l_32,VisionTransformer,80.67011157656395,0.3212544002414458
vgg13,VGG,79.9864974367905,0.29380525804785823
vit_l_16,VisionTransformer,77.27740038055498,0.3157444245238238
dino_vits16,DINO,76.66182955127456,0.3265658640278421
dinov2_vitg14,DINOv2,76.46001779648036,0.3560247253282267
dinov2_vitl14,DINOv2,76.35819536625957,0.32407949516424256
dinov2_vitb14,DINOv2,75.22336049191725,0.34401677010542125
dinov2_vits14,DINOv2,73.27136651467171,0.3069713071312875
