model,family,variant,iteration,macro_f1
convnext_tiny,ConvNeXt,frozen,1,70.53833064800517
convnext_tiny,ConvNeXt,frozen,2,68.98155668337166
convnext_tiny,ConvNeXt,frozen,3,71.58459458449704
convnext_tiny,ConvNeXt,frozen,4,71.98808870827808
convnext_tiny,ConvNeXt,frozen,5,69.70845464388309
convnext_tiny,ConvNeXt,frozen,6,69.17469502901672
convnext_tiny,ConvNeXt,frozen,7,73.5063543988726
convnext_tiny,ConvNeXt,frozen,8,66.89284845635606
convnext_tiny,ConvNeXt,frozen,9,70.54573045679078
convnext_tiny,ConvNeXt,frozen,10,69.58206216026403
convnext_tiny,ConvNeXt,frozen,11,69.79116690218295
convnext_tiny,ConvNeXt,frozen,12,68.50717333321037
convnext_tiny,ConvNeXt,frozen,13,70.62382457869384
convnext_tiny,ConvNeXt,frozen,14,72.12587746317485
convnext_tiny,ConvNeXt,frozen,15,71.32662157195564
convnext_tiny,ConvNeXt,frozen,16,74.09658258984426
convnext_tiny,ConvNeXt,frozen,17,71.1183536912889
convnext_tiny,ConvNeXt,frozen,18,69.3849962864536
convnext_tiny,ConvNeXt,frozen,19,72.50167665017571
convnext_tiny,ConvNeXt,frozen,20,69.07794604891822
convnext_tiny,ConvNeXt,frozen,21,71.906716303025
convnext_tiny,ConvNeXt,frozen,22,66.78312718519157
convnext_tiny,ConvNeXt,frozen,23,69.9764832212174
convnext_tiny,ConvNeXt,frozen,24,67.47271796656118
convnext_tiny,ConvNeXt,frozen,25,69.35130210096895
convnext_tiny,ConvNeXt,frozen,26,68.79889238004793
convnext_tiny,ConvNeXt,frozen,27,68.00850186204677
convnext_tiny,ConvNeXt,frozen,28,67.65769943338749
convnext_tiny,ConvNeXt,frozen,29,69.7133829502737
convnext_tiny,ConvNeXt,frozen,30,70.92461933366612
convnext_tiny,ConvNeXt,frozen,31,69.66099412388918
convnext_tiny,ConvNeXt,frozen,32,69.27894378403096
convnext_tiny,ConvNeXt,frozen,33,74.30603482448038
convnext_tiny,ConvNeXt,frozen,34,68.35302083992143
convnext_tiny,ConvNeXt,frozen,35,73.86344557256494
convnext_tiny,ConvNeXt,frozen,36,70.93327940321039
convnext_tiny,ConvNeXt,frozen,37,69.54077841914838
convnext_tiny,ConvNeXt,frozen,38,70.45981064700854
convnext_tiny,ConvNeXt,frozen,39,68.46837441077223
convnext_tiny,ConvNeXt,frozen,40,70.65309985605374
convnext_tiny,ConvNeXt,frozen,41,71.20482518995551
convnext_tiny,ConvNeXt,frozen,42,69.02614712650843
convnext_tiny,ConvNeXt,frozen,43,70.72879402718793
convnext_tiny,ConvNeXt,frozen,44,69.97129752789756
convnext_tiny,ConvNeXt,frozen,45,71.47415968057251
convnext_tiny,ConvNeXt,frozen,46,69.74812556538545
convnext_tiny,ConvNeXt,frozen,47,69.49611752851003
convnext_tiny,ConvNeXt,frozen,48,70.81038980223697
convnext_tiny,ConvNeXt,frozen,49,70.2044141052186
convnext_tiny,ConvNeXt,frozen,50,71.67700040461133
convnext_tiny,ConvNeXt,frozen,51,67.96750831092679
convnext_tiny,ConvNeXt,frozen,52,71.74101265585658
convnext_tiny,ConvNeXt,frozen,53,70.44748086130272
convnext_tiny,ConvNeXt,frozen,54,72.31165296143473
convnext_tiny,ConvNeXt,frozen,55,72.29150524777492
convnext_tiny,ConvNeXt,frozen,56,72.75710581499911
