model,family,frozen_mean,frozen_margin,finetuned_mean,finetuned_margin,finetune_gain,ci_overlap
dinov2_vits14,DINOv2,75.18,0.3,73.27,0.31,-1.91,False
dino_vits16,DINO,78.46,0.3,76.66,0.33,-1.8,False
vgg13,VGG,77.8,0.32,79.99,0.29,2.18,False
dinov2_vitb14,DINOv2,73.02,0.36,75.22,0.34,2.2,False
dinov2_vitg14,DINOv2,74.26,0.32,76.46,0.36,2.2,False
dino_vits8,DINO,79.43,0.33,82.38,0.33,2.95,False
dinov2_vitl14,DINOv2,73.25,0.31,76.36,0.32,3.11,False
dino_vitb16,DINO,78.99,0.32,83.07,0.3,4.09,False
vit_l_16,VisionTransformer,72.91,0.33,77.28,0.32,4.37,False
vgg11,VGG,75.95,0.34,81.1,0.32,5.15,False
dino_vitb8,DINO,79.17,0.3,84.34,0.27,5.18,False
vgg16,VGG,75.87,0.28,81.95,0.31,6.08,False
vit_l_32,VisionTransformer,71.56,0.34,80.67,0.32,9.11,False
vit_b_32,VisionTransformer,70.87,0.35,82.87,0.3,11.99,False
vit_b_16,VisionTransformer,70.06,0.32,83.95,0.31,13.9,False
convnext_base,ConvNeXt,73.26,0.3,87.34,0.23,14.08,False
convnext_large,ConvNeXt,73.08,0.32,88.1,0.24,15.02,False
convnext_tiny,ConvNeXt,70.08,0.35,86.77,0.27,16.69,False
convnext_small,ConvNeXt,69.17,0.36,86.23,0.26,17.06,False
resnet18,ResNet,60.16,0.4,83.11,0.26,22.96,False
resnet101,ResNet,59.39,0.36,82.69,0.3,23.3,False
resnet50,ResNet,58.05,0.37,83.61,0.26,25.56,False
resnet152,ResNet,56.9,0.37,83.12,0.26,26.22,False
resnet34,ResNet,57.08,0.4,85.23,0.29,28.15,False
