model,published_mean,published_margin,unfrozen60_mean,unfrozen60_delta,unfrozen60_ci_overlap,unfrozen40_mean,unfrozen40_delta,unfrozen40_ci_overlap,unfrozen10_mean,unfrozen10_delta,unfrozen10_ci_overlap,closest_unfrozen
convnext_tiny,86.79,0.26,86.83,0.04,True,86.77,-0.02,True,81.08,-5.71,False,40
convnext_small,86.47,0.28,87.36,0.89,False,86.23,-0.24,True,81.36,-5.11,False,40
convnext_base,87.16,0.29,86.07,-1.09,False,87.34,0.18,True,81.52,-5.64,False,40
convnext_large,88.25,0.22,86.61,-1.65,False,88.1,-0.16,True,80.07,-8.18,False,40
resnet18,85.08,0.25,85.04,-0.04,True,83.11,-1.97,False,78.05,-7.02,False,60
resnet34,84.85,0.25,84.34,-0.51,True,85.23,0.39,True,75.75,-9.1,False,40
resnet50,84.53,0.29,83.71,-0.82,False,83.61,-0.92,False,80.01,-4.52,False,60
resnet101,83.59,0.32,83.34,-0.25,True,82.69,-0.89,False,78.62,-4.96,False,60
resnet152,85.28,0.27,84.9,-0.38,True,83.12,-2.16,False,80.47,-4.81,False,60
vgg11,78.61,0.28,80.87,2.27,False,81.1,2.49,False,79.28,0.67,False,10
vgg13,80.65,0.31,78.1,-2.55,False,79.99,-0.66,False,78.19,-2.46,False,40
vgg16,75.62,0.34,75.14,-0.48,True,81.95,6.33,False,77.64,2.02,False,60
vit_b_16,81.07,0.3,85.26,4.19,False,83.95,2.88,False,77.5,-3.58,False,40
vit_b_32,79.33,0.36,76.67,-2.66,False,82.87,3.53,False,79.49,0.15,True,10
vit_l_16,75.85,0.34,80.68,4.82,False,77.28,1.42,False,76.86,1.01,False,10
vit_l_32,80.77,0.29,84.69,3.92,False,80.67,-0.1,True,78.17,-2.6,False,40
